Alloy,Finish,Length_m,Weight_kg_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Nickel,phosphated,19.4,1.266,Skruvkanal,0.175,high,155702,3.76,medium,8.0,1.98,2025-05-01
Titanium,plasma sprayed,34.7,1.729,Ändprofil,0.104,medium,107945,3.48,micro,7.0,2.83,2025-09-10
Copper,phosphated,35.0,1.415,Kantprofil,0.187,medium,133490,2.97,medium,11.0,2.37,2025-04-03
Titanium,phosphated,27.5,0.952,Z-profil,0.135,medium,132768,2.6,large,2.0,2.39,2025-09-13
Titanium,hot-dip galvanized,15.9,1.453,Ramlist,0.077,low,58805,2.74,small,2.0,3.69,2025-09-11
Aluminium,blackening,22.4,1.133,Karmlist,0.071,low,69013,3.54,large,9.0,3.51,2025-12-18
Copper,anodized,30.0,1.462,Täckprofil,0.136,low,86687,4.04,micro,5.0,3.2,2025-10-15
Copper,phosphated,38.4,0.901,Skarvprofil,0.164,medium,75469,2.88,medium,6.0,3.4,2025-11-05
Copper,electroplated,30.3,0.997,Korsprofil,0.167,medium,105582,3.72,micro,8.0,2.87,2025-02-28
Titanium,phosphated,21.7,1.617,Hörnvinkel,0.091,low,109811,3.93,small,9.0,2.79,2025-03-10
Nickel,phosphated,30.4,1.044,Karmlist,0.081,low,84042,3.38,micro,11.0,3.25,2025-03-27
Copper,phosphated,28.2,1.6,Korsprofil,0.053,medium,72822,3.61,medium,8.0,3.45,2025-10-01
Zinc,hot-dip galvanized,33.8,1.092,Korsprofil,0.152,high,113432,3.85,small,,2.73,2025-08-15
Titanium,blackening,18.2,1.423,Droppnäsa,0.061,low,151922,2.96,small,5.0,2.05,2025-03-22
Aluminium,hot-dip galvanized,33.3,1.469,Innerbåge,0.113,medium,151064,3.02,medium,11.0,2.06,2025-04-24
Nickel,Powder coated,28.3,1.304,Rörprofil,0.14,medium,135789,2.55,medium,2.0,2.33,2025-07-03
Zinc,hot-dip galvanized,38.0,1.115,Fönsterbåge,0.191,high,131697,4.08,medium,11.0,2.41,2025-10-07
Zinc,electroplated,23.6,1.031,Glaskil,0.097,medium,36180,4.01,micro,10.0,4.09,2025-11-18
Aluminium,electroplated,30.4,0.867,Spröjsprofil,0.087,medium,75754,3.77,large,4.0,3.39,2025-11-14
Nickel,hot-dip galvanized,37.3,1.114,Z-profil,0.148,low,88011,2.68,micro,4.0,3.18,2025-02-23
Titanium,blackening,18.1,1.432,Droppnäsa,0.143,low,75839,3.26,micro,11.0,3.39,2025-07-16
Iron,plasma sprayed,37.4,1.692,Hörnvinkel,0.1,high,141284,2.71,large,10.0,2.24,2025-10-20
Nickel,anodized,31.6,1.631,Stödprofil,0.189,high,100621,2.58,medium,11.0,2.95,2025-10-20
Aluminium,blackening,17.3,1.535,Täckprofil,0.177,medium,120285,3.53,medium,4.0,2.61,2025-10-18
Zinc,hot-dip galvanized,22.7,1.555,Vinkellist,0.084,low,47099,4.08,large,9.0,3.9,2025-06-29
Titanium,phosphated,32.1,1.443,Ytterram,0.086,high,146884,3.99,large,3.0,2.14,2025-08-10
Nickel,wet painted,17.3,1.074,Pärlspont,0.127,high,137143,3.66,micro,4.0,2.31,2025-10-01
Iron,anodized,29.2,1.663,Hakprofil,0.166,high,92402,2.7,small,3.0,3.1,2025-09-01
Iron,anodized,23.7,1.448,Distansprofil,0.057,medium,83026,2.99,large,2.0,3.27,2025-06-03
Copper,electroplated,30.1,1.348,Kantprofil,0.154,low,81084,3.06,micro,3.0,3.3,2025-10-31
Copper,anodized,16.8,0.938,Fönsterbåge,0.147,high,152664,3.76,small,9.0,2.03,2025-09-30
Aluminium,hot-dip galvanized,35.9,1.244,Karmlist,0.085,low,145334,3.83,medium,10.0,2.16,2025-05-15
Nickel,phosphated,38.3,1.257,Kantprofil,0.152,high,75633,3.16,medium,3.0,3.4,2025-11-09
Nickel,phosphated,38.1,1.625,Anslagslist,0.191,high,73128,3.21,micro,,3.44,2025-01-08
Zinc,Powder coated,33.1,1.335,U-profil,0.057,low,101826,2.62,micro,6.0,2.93,2025-05-08
Zinc,phosphated,18.7,1.184,Kantskydd,0.098,low,86662,3.01,large,4.0,3.2,2025-02-25
Zinc,blackening,33.3,1.727,Isolerprofil,0.116,low,86297,3.27,medium,10.0,3.21,2025-05-06
Copper,phosphated,16.3,0.938,Kopplingsprofil,0.185,medium,156273,2.74,micro,7.0,1.97,2025-06-08
Nickel,electroplated,16.2,1.222,Droppnäsa,0.194,high,82641,3.27,medium,12.0,3.27,2025-02-28
Nickel,phosphated,23.2,0.876,Ändprofil,0.117,medium,51373,3.91,medium,2.0,3.83,2025-02-27
Iron,Powder coated,27.0,1.511,Kopplingsprofil,0.163,low,134699,3.47,large,6.0,2.35,2025-05-20
Copper,wet painted,33.6,1.673,Doldbeslag,0.13,high,46849,2.68,small,8.0,3.91,2025-06-25
Titanium,hot-dip galvanized,31.5,1.092,Foglist,0.131,medium,116095,2.85,large,5.0,2.68,2025-04-18
Copper,electroplated,26.0,1.619,H-profil,0.092,high,89220,3.3,micro,9.0,3.16,2025-07-30
Titanium,blackening,22.1,1.103,H-profil,0.083,medium,117626,3.12,large,11.0,2.65,2025-03-15
Iron,wet painted,38.8,1.667,Fönsterbåge,0.093,low,107815,3.12,large,6.0,2.83,2025-06-16
Aluminium,electroplated,25.6,1.524,Fönsterbleck,0.133,medium,52616,3.39,medium,10.0,3.8,2025-12-23
Nickel,plasma sprayed,26.2,1.57,Foglist,0.054,high,58483,3.48,large,10.0,3.7,2025-10-31
Iron,anodized,19.5,0.854,Kantskydd,0.186,high,126160,3.82,micro,10.0,2.5,2025-08-21
Nickel,plasma sprayed,34.1,1.714,Glaskil,0.073,high,56924,3.09,small,2.0,3.73,2025-11-23
Zinc,phosphated,31.8,1.499,Kantskydd,0.083,high,94815,3.83,large,3.0,3.06,2025-07-01
Aluminium,wet painted,20.8,1.115,Skenprofil,0.128,low,136012,3.09,large,4.0,2.33,2025-05-02
Aluminium,phosphated,17.6,1.593,Kilspår,0.157,medium,118081,2.64,small,5.0,2.65,2025-11-30
Iron,anodized,31.5,1.094,F-profil,0.064,low,79005,3.43,micro,11.0,3.34,2025-07-22
Aluminium,electroplated,30.9,1.632,Glaskil,0.098,low,121626,3.48,micro,10.0,2.58,2025-01-29
Titanium,anodized,22.0,0.94,Droppnäsa,0.195,low,59056,4.04,large,11.0,3.69,2025-07-21
Aluminium,Powder coated,37.7,5.166144,Ventilationslister,0.089,high,92690,3.7,medium,7.0,3.1,2025-04-03
Nickel,anodized,19.2,1.33,Baslister,0.097,high,100669,4.01,large,2.0,2.95,2025-11-25
Nickel,Powder coated,25.7,0.925,Doldbeslag,0.175,high,103121,3.99,small,10.0,2.91,2025-12-22
Nickel,anodized,37.6,1.058,Distansprofil,0.058,medium,41889,3.51,small,7.0,3.99,2025-06-25
Nickel,hot-dip galvanized,25.4,0.849,Skenprofil,0.12,high,145312,3.39,small,5.0,2.16,2025-11-26
Titanium,Powder coated,30.5,1.264,Karmprofil,0.107,medium,46416,3.44,large,5.0,3.91,2025-07-30
